Date,Open,High,Low,Close,Adj Close,Volume
3/3/2016,"5,050.00","5,200.00","5,050.00","5,150.00","4,321.09",47.90
3/4/2016,"5,175.00","5,300.00","5,175.00","5,275.00","4,425.97",36.42
3/7/2016,"5,300.00","5,375.00","5,275.00","5,300.00","4,446.95",34.77
3/8/2016,"5,325.00","5,350.00","5,175.00","5,275.00","4,425.97",26.22
3/10/2016,"5,250.00","5,275.00","5,175.00","5,250.00","4,405.00",23.57
3/11/2016,"5,250.00","5,250.00","5,250.00","5,250.00","4,405.00",0.00
3/14/2016,"5,250.00","5,250.00","5,250.00","5,250.00","4,405.00",0.00
3/15/2016,"5,375.00","5,375.00","5,300.00","5,350.00","4,488.90",16.13
3/16/2016,"5,400.00","5,400.00","5,325.00","5,350.00","4,488.90",29.00
3/17/2016,"5,400.00","5,425.00","5,375.00","5,375.00","4,509.88",46.28
3/18/2016,"5,300.00","5,400.00","5,275.00","5,375.00","4,615.09",34.66
3/21/2016,"5,400.00","5,450.00","5,350.00","5,375.00","4,615.09",21.80
3/22/2016,"5,400.00","5,425.00","5,350.00","5,375.00","4,615.09",30.53
3/23/2016,"5,425.00","5,425.00","5,250.00","5,300.00","4,550.69",22.58
3/24/2016,"5,300.00","5,300.00","5,125.00","5,150.00","4,421.90",20.90
3/28/2016,"5,100.00","5,150.00","5,075.00","5,100.00","4,378.97",8.74
3/29/2016,"5,075.00","5,125.00","5,000.00","5,050.00","4,336.04",13.97
3/30/2016,"5,100.00","5,175.00","5,075.00","5,175.00","4,443.37",24.92
3/31/2016,"5,200.00","5,225.00","5,150.00","5,200.00","4,464.83",27.79
4/1/2016,"5,100.00","5,150.00","5,050.00","5,100.00","4,378.97",19.40
4/4/2016,"5,125.00","5,150.00","5,075.00","5,125.00","4,400.43",14.51
4/5/2016,"5,125.00","5,275.00","5,100.00","5,200.00","4,464.83",32.55
4/6/2016,"5,225.00","5,275.00","5,200.00","5,200.00","4,464.83",16.33
4/7/2016,"5,275.00","5,300.00","5,250.00","5,275.00","4,529.23",35.76
4/8/2016,"5,275.00","5,275.00","5,150.00","5,200.00","4,464.83",23.82
4/11/2016,"5,200.00","5,200.00","5,200.00","5,200.00","4,464.83",0.00
4/12/2016,"5,100.00","5,175.00","5,050.00","5,100.00","4,378.97",23.05
4/13/2016,"5,100.00","5,100.00","5,100.00","5,100.00","4,378.97",0.00
4/14/2016,"5,100.00","5,100.00","5,100.00","5,100.00","4,378.97",0.00
4/15/2016,"5,100.00","5,100.00","5,100.00","5,100.00","4,378.97",0.00
4/18/2016,"5,100.00","5,100.00","5,100.00","5,100.00","4,378.97",0.00
4/19/2016,"5,100.00","5,100.00","5,100.00","5,100.00","4,378.97",0.00
4/20/2016,"4,915.00","4,940.00","4,890.00","4,910.00","4,215.83",57.42
4/21/2016,"4,910.00","4,965.00","4,905.00","4,930.00","4,233.00",40.49
